Category,Sub Category,ProductDescription,Barcode,TescoProductID,BaseID,Price (£),Unit Price (£),Unit Of Measure,SpecialOffer,OfferStartDate,OfferEndDate,CurrentlyAvailable,DateScraped,WebLink,Aldi Price Match,Deposit
Fresh Fruit,Melons & Pineapples,Keelings Gold Super Sweet Pineapple,05391521912220	,330744176,98571850,3.29,3.29,each,Any 3 for €8 Clubcard Price - Selected Keelings Or Bagu Fruits,02/07/2026,23/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/330744176,No,
Fresh Fruit,"Fruit Pots, Platters & Packs",Simplyfruit Pineapple 500G,05060054686655	,314316930,92051670,4.59,9.18,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/314316930,No,
Fresh Fruit,Apples & Pears,Tesco Ready To Eat Seasonal Pears 4Pack 550G,00000003249567	,284475164,77090984,3.09,5.62,kg,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/284475164,No,
Finest Fresh Food,Finest Fruit & Vegetables,Tesco Finest Red Grapes Seedless 400G,00000003412923	,310094990,89993491,2.99,7.48,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/310094990,No,
Fresh Fruit,Apples & Pears,Tesco Kanzi Apples 4 Pack,05059316207400	,305296539,87429017,3.0,0.75,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/305296539,No,
Finest Bakery,Finest Sweet Bakery,Tesco Finest Blueberries 125G,00000003452585	,311941447,90722921,2.19,17.52,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/311941447,No,
Fresh Fruit,Apples & Pears,Tesco Granny Smith Apple Each,00000003249161	,284182692,76921827,0.6,0.6,each,Any 5 for €2 Clubcard Price - Selected Tesco Fruits,09/04/2026,31/10/2026,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/284182692,No,
"Dried Fruit, Nuts, Nutrient Powders & Seeds",Dried Fruit,Sowan's Cranberries 100G,05099809131027	,287249670,78483881,1.5,15.0,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/287249670,No,
Fresh Fruit,Rhubarb,RYAN'S RHUBARB BUNCH,05391537732058	,317195911,93161440,2.09,2.09,each,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/317195911,No,
Fresh Fruit,"Fruit Pots, Platters & Packs",Simplyfruit Melon and Grapes 240g,05060054686211	,316946889,93548640,2.99,12.46,kg,Any 2 for €5 Clubcard Price - Selected Simplyfruit Products,11/05/2026,27/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/316946889,No,
Fresh Fruit,"Peaches, Nectarines, Plums & Apricots",Suntrail Farms Nectarines Minimum 4,00000003266151	,292275515,81017163,2.49,0.62,each,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/292275515,No,
Fresh Fruit,Berries & Cherries,Tesco Cherries Punnet 200G,00000010000991	,266291241,56376327,2.99,14.95,kg,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/266291241,No,
Fresh Fruit,"Oranges, Lemons & Citrus Fruit",Bagu Oranges 6 pack,05391521912367	,330773204,98254696,3.79,0.63,each,€2.79 Save 25% Clubcard Price,20/08/2026,23/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/330773204,No,
Fresh Fruit,Berries & Cherries,Keelings Occasion Punnet 220g,05391521911834	,323006345,97395870,4.99,22.68,kg,NA,NA,NA,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/323006345,No,
Fresh Fruit,Melons & Pineapples,Keelings Kol'or Giant Pineapple,05099400009657	,305916527,87745875,4.99,4.99,each,NA,NA,NA,False,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/305916527,No,
Fresh Fruit,"Dried Fruit, Nuts & Seeds",Forest Feast Pistachio Crisp Milk Chocolate Dates 120g,05022374061628	,322063726,96922842,4.95,41.25,kg,€3.75 Clubcard Price,03/09/2026,29/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/322063726,No,
Fresh Fruit,"Fruit Pots, Platters & Packs",Simplyfruit Classic Fruit Salad 240G,05060054688000	,330746319,98582134,2.99,12.46,kg,Any 2 for €5 Clubcard Price - Selected Simplyfruit Products,11/05/2026,27/09/2026,TRUE,03/09/2026,https://www.tesco.ie/groceries/en-IE/products/330746319,No,
